label,repo_id,raw_family,plot_group,tsne_x,tsne_y,proxy,layer,seed,perplexity
qwen25_3b,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,-1.7754892110824585,1.2114737033843994,qwen35_9b,18,42,15.0
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,-2.038362741470337,1.7090702056884766,qwen35_9b,18,42,15.0
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,-2.6881847381591797,1.6211562156677246,qwen35_9b,18,42,15.0
qwen25_32b,Qwen/Qwen2.5-32B-Instruct,Qwen,Qwen,-2.611374616622925,2.419584035873413,qwen35_9b,18,42,15.0
qwen25_72b,Qwen/Qwen2.5-72B-Instruct,Qwen,Qwen,-1.196905255317688,1.5730382204055786,qwen35_9b,18,42,15.0
qwen3_1_7b,Qwen/Qwen3-1.7B,Qwen,Qwen,-13.551335334777832,-12.021803855895996,qwen35_9b,18,42,15.0
qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen,Qwen,-8.845294952392578,-0.4662090837955475,qwen35_9b,18,42,15.0
qwen3_4b,Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,4.0643205642700195,4.739460468292236,qwen35_9b,18,42,15.0
qwen3_4b_think,Qwen/Qwen3-4B-Thinking-2507,Qwen,Qwen,-12.764535903930664,-10.020072937011719,qwen35_9b,18,42,15.0
qwen3_14b,Qwen/Qwen3-14B,Qwen,Qwen,-13.21176528930664,-11.913756370544434,qwen35_9b,18,42,15.0
qwen3_30b_a3b_inst,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,Qwen,4.382592678070068,4.330258846282959,qwen35_9b,18,42,15.0
qwen3_30b_a3b_think,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,Qwen,-12.512871742248535,-9.501255989074707,qwen35_9b,18,42,15.0
qwen3_next_80b_inst,Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,Qwen,5.052974700927734,4.71380090713501,qwen35_9b,18,42,15.0
qwen3_next_80b_think,Qwen/Qwen3-Next-80B-A3B-Thinking,Qwen,Qwen,-12.973387718200684,-9.920157432556152,qwen35_9b,18,42,15.0
qwen3_coder_30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,Qwen,8.937475204467773,-0.8555852770805359,qwen35_9b,18,42,15.0
qwq_32b,Qwen/QwQ-32B,Qwen,Qwen,-13.868288040161133,-9.637144088745117,qwen35_9b,18,42,15.0
qwen35_4b,Qwen/Qwen3.5-4B,Qwen,Qwen,-10.388176918029785,-11.128548622131348,qwen35_9b,18,42,15.0
qwen35_4b_base,Qwen/Qwen3.5-4B-Base,Qwen,Qwen,-10.761204719543457,-7.807868480682373,qwen35_9b,18,42,15.0
qwen35_9b,Qwen/Qwen3.5-9B,Qwen,Qwen,-9.972485542297363,-10.871556282043457,qwen35_9b,18,42,15.0
qwen35_9b_base,Qwen/Qwen3.5-9B-Base,Qwen,Qwen,-10.745969772338867,-7.810473918914795,qwen35_9b,18,42,15.0
