pair_id,left_label,right_label,left_display,right_display,proxy,role,cosine_distance,left_to_right_rank,right_to_left_rank,mutual_rank
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,llama31_8b_instruct,main,8.73038502581247e-05,4,5,5
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,gemma4_12b,main,0.04609166726395075,4,6,6
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,ministral3_8b,main,0.0019371885067037686,4,5,5
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,qwen35_9b,main,0.020122494173552274,4,3,4
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,olmo3_7b_instruct,full,0.03453654308040521,4,5,5
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,qwen3_8b,full,0.017726021366187505,4,6,6
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,qwen3_32b,full,0.0007530603487414522,4,5,5
distilled_qwen_lineage,ds_distill_qwen_32b,qwq_32b,R1-Distill-Qwen-32B,QwQ-32B,qwen35_27b,full,0.02234129119253625,3,3,3
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,llama31_8b_instruct,main,0.00017012840792063333,22,6,22
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,gemma4_12b,main,0.04323497276423616,12,2,12
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,ministral3_8b,main,0.002743631031119853,10,2,10
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,qwen35_9b,main,0.014231608757759306,1,2,2
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,olmo3_7b_instruct,full,0.02417236854642424,1,2,2
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,qwen3_8b,full,0.009524395366475313,2,2,2
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,qwen3_32b,full,0.0009165499973943225,1,2,2
minimax_claude,minimax_m3,claude_sonnet46,MiniMax-M3,Claude-Sonnet-4.6,qwen35_27b,full,0.016683793276789594,1,2,2
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,llama31_8b_instruct,main,4.4787993053185815e-05,2,5,5
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,gemma4_12b,main,0.006477741028887762,1,2,2
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,ministral3_8b,main,0.0007454198980940685,1,3,3
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,qwen35_9b,main,0.004656530569915662,1,2,2
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,olmo3_7b_instruct,full,0.0070519670619222374,1,2,2
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,qwen3_8b,full,0.003754029501804035,1,1,1
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,qwen3_32b,full,0.00023931471650140423,1,3,3
claude_deepseek,claude_sonnet4,deepseek_v4_pro,Claude-Sonnet-4,DeepSeek-V4-Pro,qwen35_27b,full,0.004966010136891907,1,2,2
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,llama31_8b_instruct,main,4.234872787134414e-05,6,3,6
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,gemma4_12b,main,0.005173281863695367,2,1,2
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,ministral3_8b,main,0.0005518649157097988,4,1,4
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,qwen35_9b,main,0.010036678949431943,3,1,3
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,olmo3_7b_instruct,full,0.016918301819380477,3,1,3
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,qwen3_8b,full,0.004386695560853027,2,2,2
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,qwen3_32b,full,0.00022236714834944493,2,1,2
gemma_gemini,gemma4_31b,gemini31_flash_lite,Gemma-4-31B,Gemini-3.1-Flash-Lite,qwen35_27b,full,0.010701895136035366,3,2,3
