proxy,role,split,distance_spearman_with_full500,family_purity_at_5,family_purity_enrichment_at_5
llama31_8b_instruct,main,0,0.9674762161767229,0.5126436781609196,2.780478589420655
llama31_8b_instruct,main,1,0.9829248326256371,0.4965517241379311,2.693198992443325
llama31_8b_instruct,main,2,0.9750117893169701,0.49655172413793114,2.693198992443325
llama31_8b_instruct,main,3,0.9559425881046217,0.47356321839080456,2.5685138539042818
llama31_8b_instruct,main,4,0.9790713739530044,0.47816091954023,2.593450881612091
gemma4_12b,main,0,0.9912928954468658,0.5264367816091955,2.855289672544081
gemma4_12b,main,1,0.9941511378826371,0.5356321839080461,2.9051637279596982
gemma4_12b,main,2,0.9943591245838873,0.5333333333333334,2.8926952141057938
gemma4_12b,main,3,0.9928385590384065,0.49425287356321845,2.6807304785894206
gemma4_12b,main,4,0.9925480458878164,0.5310344827586208,2.8802267002518893
ministral3_8b,main,0,0.9707971538789252,0.5609195402298852,3.0423173803526455
ministral3_8b,main,1,0.9871939150518334,0.5632183908045979,3.05478589420655
ministral3_8b,main,2,0.9759117129607509,0.5609195402298851,3.0423173803526447
ministral3_8b,main,3,0.9395472986430707,0.542528735632184,2.9425692695214107
ministral3_8b,main,4,0.9862145824143869,0.5540229885057473,3.0049118387909326
qwen35_9b,main,0,0.9934842702939783,0.5724137931034483,3.104659949622166
qwen35_9b,main,1,0.9942424128768549,0.5770114942528736,3.1295969773299745
qwen35_9b,main,2,0.9942110209520532,0.5839080459770115,3.1670025188916875
qwen35_9b,main,3,0.9938659163629872,0.5517241379310346,2.992443324937028
qwen35_9b,main,4,0.9943943653183367,0.5724137931034483,3.104659949622166
olmo3_7b_instruct,full,0,0.9909343459954095,0.5816091954022988,3.154534005037783
olmo3_7b_instruct,full,1,0.9937415236583405,0.5839080459770115,3.1670025188916875
olmo3_7b_instruct,full,2,0.9930144245385918,0.5954022988505748,3.2293450881612094
olmo3_7b_instruct,full,3,0.9926911526267362,0.5540229885057473,3.0049118387909326
olmo3_7b_instruct,full,4,0.9927266089483483,0.5839080459770115,3.1670025188916875
qwen3_8b,full,0,0.9848973814565779,0.5839080459770115,3.1670025188916875
qwen3_8b,full,1,0.9871016560145124,0.549425287356322,2.979974811083124
qwen3_8b,full,2,0.9900161208912287,0.5586206896551724,3.02984886649874
qwen3_8b,full,3,0.9856528911849382,0.5287356321839082,2.8677581863979853
qwen3_8b,full,4,0.9887013249323892,0.5563218390804597,3.0173803526448357
qwen3_32b,full,0,0.9929945731064187,0.6,3.2542821158690174
qwen3_32b,full,1,0.9956261354848297,0.6022988505747127,3.266750629722922
qwen3_32b,full,2,0.9950092867892965,0.593103448275862,3.2168765743073044
qwen3_32b,full,3,0.9784846742169094,0.5724137931034483,3.104659949622166
qwen3_32b,full,4,0.9948312443435653,0.5862068965517241,3.1794710327455915
qwen35_27b,full,0,0.9944264851342615,0.5862068965517242,3.179471032745592
qwen35_27b,full,1,0.9948557586520113,0.5816091954022988,3.154534005037783
qwen35_27b,full,2,0.9950131356978829,0.5885057471264368,3.191939546599496
qwen35_27b,full,3,0.9935799583445578,0.567816091954023,3.0797229219143576
qwen35_27b,full,4,0.9945246006428679,0.5816091954022988,3.154534005037783
