proxy_left,proxy_right,pair_role,distance_spearman,knn_jaccard_at_10
llama31_8b_instruct,gemma4_12b,main,0.8147072231285468,0.4882093190607123
llama31_8b_instruct,ministral3_8b,main,0.8678685626261544,0.5771554056538577
llama31_8b_instruct,qwen35_9b,main,0.7810076162336572,0.459354068703914
llama31_8b_instruct,olmo3_7b_instruct,full,0.7780233193208725,0.49748518595267827
llama31_8b_instruct,qwen3_8b,full,0.8035316956235706,0.4612641727038012
llama31_8b_instruct,qwen3_32b,full,0.8116088906983434,0.5048333486259183
llama31_8b_instruct,qwen35_27b,full,0.7912945381735563,0.4621114420495225
gemma4_12b,ministral3_8b,main,0.7696305595505819,0.5307454877423918
gemma4_12b,qwen35_9b,main,0.9330355272717037,0.6177624009976951
gemma4_12b,olmo3_7b_instruct,full,0.9300751339195187,0.63985347985348
gemma4_12b,qwen3_8b,full,0.9252685799332325,0.5419140826493769
gemma4_12b,qwen3_32b,full,0.8929287830823073,0.5950185718993769
gemma4_12b,qwen35_27b,full,0.922287000170633,0.6123769324930315
ministral3_8b,qwen35_9b,main,0.8213467540843918,0.5708674126011587
ministral3_8b,olmo3_7b_instruct,full,0.8451835705213231,0.6050134626295617
ministral3_8b,qwen3_8b,full,0.7876909998346525,0.5344365275247629
ministral3_8b,qwen3_32b,full,0.8987140001886782,0.702834273569568
ministral3_8b,qwen35_27b,full,0.8376059337433047,0.59025716887172
qwen35_9b,olmo3_7b_instruct,full,0.9612161352491952,0.7392166167166165
qwen35_9b,qwen3_8b,full,0.8806938522450053,0.5812681109739934
qwen35_9b,qwen3_32b,full,0.9145395409618744,0.6478596077125489
qwen35_9b,qwen35_27b,full,0.9819150899298436,0.8126606726606725
olmo3_7b_instruct,qwen3_8b,full,0.9090535898053301,0.6376448834962768
olmo3_7b_instruct,qwen3_32b,full,0.9200103584734293,0.6787983095336039
olmo3_7b_instruct,qwen35_27b,full,0.9516041901017375,0.7221794871794871
qwen3_8b,qwen3_32b,full,0.8832503148995436,0.6053146526675939
qwen3_8b,qwen35_27b,full,0.8821377914443448,0.5854388258800025
qwen3_32b,qwen35_27b,full,0.9300879780268595,0.6713682189843179
