label,repo_id,organization,plot_group,domain,response_count,tsne_x,tsne_y,proxy_layer,component,distance
qwen25_3b,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,agent500,500,13.077827453613281,-5.038565158843994,18,dc_ac,cosine
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,agent500,500,12.469889640808105,-5.205368995666504,18,dc_ac,cosine
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,agent500,500,13.395100593566895,-5.93329381942749,18,dc_ac,cosine
qwen25_32b,Qwen/Qwen2.5-32B-Instruct,Qwen,Qwen,agent500,500,13.983115196228027,-5.555856704711914,18,dc_ac,cosine
qwen25_72b,Qwen/Qwen2.5-72B-Instruct,Qwen,Qwen,agent500,500,12.575325965881348,-4.381855010986328,18,dc_ac,cosine
qwen3_1_7b,Qwen/Qwen3-1.7B,Qwen,Qwen,agent500,500,-28.410825729370117,-6.6054158210754395,18,dc_ac,cosine
qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen,Qwen,agent500,500,-7.826508522033691,-6.2391157150268555,18,dc_ac,cosine
qwen3_4b,Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,agent500,500,11.891953468322754,3.9528250694274902,18,dc_ac,cosine
qwen3_4b_think,Qwen/Qwen3-4B-Thinking-2507,Qwen,Qwen,agent500,500,-29.14711570739746,-4.552558422088623,18,dc_ac,cosine
qwen3_14b,Qwen/Qwen3-14B,Qwen,Qwen,agent500,500,-28.856800079345703,-6.855412483215332,18,dc_ac,cosine
qwen3_30b_a3b_inst,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,Qwen,agent500,500,11.705143928527832,3.8811779022216797,18,dc_ac,cosine
qwen3_30b_a3b_think,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,Qwen,agent500,500,-28.981637954711914,-4.121346950531006,18,dc_ac,cosine
qwen3_next_80b_inst,Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,Qwen,agent500,500,11.65342903137207,4.575632572174072,18,dc_ac,cosine
qwen3_next_80b_think,Qwen/Qwen3-Next-80B-A3B-Thinking,Qwen,Qwen,agent500,500,-29.449634552001953,-4.6609787940979,18,dc_ac,cosine
qwen3_coder_30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,Qwen,agent500,500,2.7207891941070557,4.984029293060303,18,dc_ac,cosine
qwq_32b,Qwen/QwQ-32B,Qwen,Qwen,agent500,500,-30.75334358215332,-4.1318039894104,18,dc_ac,cosine
qwen35_4b,Qwen/Qwen3.5-4B,Qwen,Qwen,agent500,500,-24.824569702148438,-7.020451068878174,18,dc_ac,cosine
qwen35_4b_base,Qwen/Qwen3.5-4B-Base,Qwen,Qwen,agent500,500,-27.08541488647461,-1.6871941089630127,18,dc_ac,cosine
qwen35_9b,Qwen/Qwen3.5-9B,Qwen,Qwen,agent500,500,-24.120662689208984,-6.737452507019043,18,dc_ac,cosine
qwen35_9b_base,Qwen/Qwen3.5-9B-Base,Qwen,Qwen,agent500,500,-27.01551055908203,-1.667629599571228,18,dc_ac,cosine
qwen35_27b,Qwen/Qwen3.5-27B,Qwen,Qwen,agent500,500,-24.261911392211914,-7.265780448913574,18,dc_ac,cosine
qwen35_122b_a10b,Qwen/Qwen3.5-122B-A10B,Qwen,Qwen,agent500,500,-24.533245086669922,-6.492599010467529,18,dc_ac,cosine
qwen36_27b,Qwen/Qwen3.6-27B,Qwen,Qwen,agent500,500,-25.086095809936523,-7.9162092208862305,18,dc_ac,cosine
qwen15_moe_chat,Qwen/Qwen1.5-MoE-A2.7B-Chat,Qwen,Qwen,agent500,500,12.413777351379395,-10.674995422363281,18,dc_ac,cosine
llama3_8b,meta-llama/Meta-Llama-3-8B-Instruct,Llama,Llama,agent500,500,10.499666213989258,-12.822461128234863,18,dc_ac,cosine
llama3_70b,meta-llama/Meta-Llama-3-70B-Instruct,Llama,Llama,agent500,500,10.299095153808594,-13.230116844177246,18,dc_ac,cosine
llama31_8b,meta-llama/Llama-3.1-8B-Instruct,Llama,Llama,agent500,500,10.573770523071289,-10.202115058898926,18,dc_ac,cosine
llama31_70b,meta-llama/Llama-3.1-70B-Instruct,Llama,Llama,agent500,500,9.960088729858398,-10.07198715209961,18,dc_ac,cosine
llama32_1b_inst,meta-llama/Llama-3.2-1B-Instruct,Llama,Llama,agent500,500,10.627447128295898,-11.054376602172852,18,dc_ac,cosine
llama32_3b,meta-llama/Llama-3.2-3B-Instruct,Llama,Llama,agent500,500,10.722391128540039,-11.558914184570312,18,dc_ac,cosine
llama4_scout,meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama,Llama,agent500,500,12.05745792388916,-7.810027599334717,18,dc_ac,cosine
mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,Mistral,Mistral,agent500,500,11.400758743286133,-9.12423324584961,18,dc_ac,cosine
mistral_nemo,mistralai/Mistral-Nemo-Instruct-2407,Mistral,Mistral,agent500,500,10.644975662231445,-8.570231437683105,18,dc_ac,cosine
mixtral_8x7b,mistralai/Mixtral-8x7B-Instruct-v0.1,Mistral,Mistral,agent500,500,12.257966995239258,-10.191463470458984,18,dc_ac,cosine
ds_distill_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,DeepSeek,agent500,500,-31.494598388671875,-3.222707509994507,18,dc_ac,cosine
ds_distill_qwen_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek,DeepSeek,agent500,500,-31.827775955200195,-3.9863767623901367,18,dc_ac,cosine
ds_distill_qwen_14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek,DeepSeek,agent500,500,-32.03733444213867,-3.010472059249878,18,dc_ac,cosine
ds_distill_qwen_32b,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek,DeepSeek,agent500,500,-32.17292785644531,-3.655439615249634,18,dc_ac,cosine
ds_v2_lite,deepseek-ai/DeepSeek-V2-Lite-Chat,DeepSeek,DeepSeek,agent500,500,11.936686515808105,-11.026419639587402,18,dc_ac,cosine
gemma3_27b,google/gemma-3-27b-it,Gemma,Others,agent500,500,-13.48215103149414,-0.5301347374916077,18,dc_ac,cosine
gemma4_26b,google/gemma-4-26B-A4B-it,Gemma,Others,agent500,500,13.092731475830078,11.978758811950684,18,dc_ac,cosine
gemma4_31b,google/gemma-4-31B-it,Gemma,Others,agent500,500,13.538593292236328,11.539480209350586,18,dc_ac,cosine
phi3_mini,microsoft/Phi-3-mini-4k-instruct,Phi,Others,agent500,500,13.272627830505371,-8.599044799804688,18,dc_ac,cosine
hunyuan_1_8b,tencent/Hunyuan-1.8B-Instruct,Hunyuan,Others,agent500,500,-28.392608642578125,-7.181748390197754,18,dc_ac,cosine
gpt_oss_20b,openai/gpt-oss-20b,GPT,GPT,agent500,500,-24.167661666870117,-1.4168000221252441,18,dc_ac,cosine
gpt_oss_120b,openai/gpt-oss-120b,GPT,GPT,agent500,500,-24.114273071289062,-1.3912626504898071,18,dc_ac,cosine
glm45_air,zai-org/GLM-4.5-Air,GLM,GLM,agent500,500,-27.57916259765625,-5.158895492553711,18,dc_ac,cosine
seed_oss_36b,ByteDance-Seed/Seed-OSS-36B-Instruct,Seed,Others,agent500,500,-27.620622634887695,-7.59622049331665,18,dc_ac,cosine
ernie_21b,baidu/ERNIE-4.5-21B-A3B-Thinking,ERNIE,Others,agent500,500,-27.190956115722656,-1.4494305849075317,18,dc_ac,cosine
lfm2_24b,LiquidAI/LFM2-24B-A2B,LFM,Others,agent500,500,12.015579223632812,3.116762161254883,18,dc_ac,cosine
gpt4o,gpt-4o,GPT,GPT,agent500,500,12.842473030090332,-3.2501981258392334,18,dc_ac,cosine
gpt4o_20241120,gpt-4o-2024-11-20,GPT,GPT,agent500,500,13.210965156555176,-3.308767080307007,18,dc_ac,cosine
gpt41_mini_20250414,gpt-4.1-mini-2025-04-14,GPT,GPT,agent500,500,8.607671737670898,0.5762786865234375,18,dc_ac,cosine
gpt41_20250414,gpt-4.1-2025-04-14,GPT,GPT,agent500,500,7.84079647064209,0.7702816128730774,18,dc_ac,cosine
gpt41_nano_20250414,gpt-4.1-nano-2025-04-14,GPT,GPT,agent500,500,8.409317016601562,0.5150125622749329,18,dc_ac,cosine
gpt54_nano,gpt-5.4-nano,GPT,GPT,agent500,500,-4.45447301864624,3.3056349754333496,18,dc_ac,cosine
qwen35_flash,qwen3.5-flash,Qwen,Qwen,agent500,500,11.997992515563965,12.737282752990723,18,dc_ac,cosine
qwen35_plus,qwen3.5-plus,Qwen,Qwen,agent500,500,12.32977294921875,11.600500106811523,18,dc_ac,cosine
gpt54_mini,gpt-5.4-mini,GPT,GPT,agent500,500,-4.69706916809082,3.7076425552368164,18,dc_ac,cosine
gpt54,gpt-5.4,GPT,GPT,agent500,500,-4.97355842590332,4.265186786651611,18,dc_ac,cosine
gpt55,gpt-5.5,GPT,GPT,agent500,500,-3.8799493312835693,4.185365200042725,18,dc_ac,cosine
gpt56_luna,gpt-5.6-luna,GPT,GPT,agent500,500,-4.788325786590576,4.958792209625244,18,dc_ac,cosine
gpt56_sol,gpt-5.6-sol,GPT,GPT,agent500,500,-5.072662353515625,5.165942192077637,18,dc_ac,cosine
gpt56_terra,gpt-5.6-terra,GPT,GPT,agent500,500,-4.3200788497924805,4.812152862548828,18,dc_ac,cosine
qwen36_flash,qwen3.6-flash,Qwen,Qwen,agent500,500,10.739484786987305,8.222997665405273,18,dc_ac,cosine
qwen36_plus,qwen3.6-plus,Qwen,Qwen,agent500,500,10.852860450744629,8.763052940368652,18,dc_ac,cosine
glm47_flashx,glm-4.7-FlashX,GLM,GLM,agent500,500,14.252254486083984,11.946593284606934,18,dc_ac,cosine
claude_opus46,claude-opus-4-6,Claude,Claude,agent500,500,0.8141624331474304,10.070525169372559,18,dc_ac,cosine
claude_opus47,claude-opus-4-7,Claude,Claude,agent500,500,0.11732015758752823,9.211853981018066,18,dc_ac,cosine
claude_opus48,claude-opus-4-8,Claude,Claude,agent500,500,-0.1797759085893631,9.737624168395996,18,dc_ac,cosine
