label,repo_id,organization,plot_group,domain,response_count,tsne_x,tsne_y,proxy_layer,component,distance
qwen25_3b,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,agent500,500,-15.058076858520508,16.691116333007812,18,dc_ac,cosine
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,agent500,500,-14.478719711303711,16.73222541809082,18,dc_ac,cosine
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,agent500,500,-15.288227081298828,15.83896541595459,18,dc_ac,cosine
qwen25_32b,Qwen/Qwen2.5-32B-Instruct,Qwen,Qwen,agent500,500,-15.978166580200195,15.854543685913086,18,dc_ac,cosine
qwen25_72b,Qwen/Qwen2.5-72B-Instruct,Qwen,Qwen,agent500,500,-15.048364639282227,17.40949058532715,18,dc_ac,cosine
qwen3_1_7b,Qwen/Qwen3-1.7B,Qwen,Qwen,agent500,500,-4.905617713928223,-5.0848236083984375,18,dc_ac,cosine
qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen,Qwen,agent500,500,-3.5986101627349854,12.351847648620605,18,dc_ac,cosine
qwen3_4b,Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,agent500,500,-18.035831451416016,21.599754333496094,18,dc_ac,cosine
qwen3_4b_think,Qwen/Qwen3-4B-Thinking-2507,Qwen,Qwen,agent500,500,-4.949302673339844,-2.138554573059082,18,dc_ac,cosine
qwen3_14b,Qwen/Qwen3-14B,Qwen,Qwen,agent500,500,-4.711831092834473,-5.42683219909668,18,dc_ac,cosine
qwen3_30b_a3b_inst,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,Qwen,agent500,500,-17.861042022705078,22.06884002685547,18,dc_ac,cosine
qwen3_30b_a3b_think,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,Qwen,agent500,500,-5.114083766937256,-1.582077980041504,18,dc_ac,cosine
qwen3_next_80b_inst,Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,Qwen,agent500,500,-18.494646072387695,22.5023136138916,18,dc_ac,cosine
qwen3_next_80b_think,Qwen/Qwen3-Next-80B-A3B-Thinking,Qwen,Qwen,agent500,500,-4.679485321044922,-2.068723678588867,18,dc_ac,cosine
qwen3_coder_30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,Qwen,agent500,500,-15.000805854797363,28.821775436401367,18,dc_ac,cosine
qwq_32b,Qwen/QwQ-32B,Qwen,Qwen,agent500,500,-3.5125272274017334,-2.2077248096466064,18,dc_ac,cosine
qwen35_4b,Qwen/Qwen3.5-4B,Qwen,Qwen,agent500,500,-8.22520637512207,-2.9779820442199707,18,dc_ac,cosine
qwen35_4b_base,Qwen/Qwen3.5-4B-Base,Qwen,Qwen,agent500,500,-6.2967071533203125,0.6686691641807556,18,dc_ac,cosine
qwen35_9b,Qwen/Qwen3.5-9B,Qwen,Qwen,agent500,500,-8.462000846862793,-2.495422601699829,18,dc_ac,cosine
qwen35_9b_base,Qwen/Qwen3.5-9B-Base,Qwen,Qwen,agent500,500,-6.326524257659912,0.6751529574394226,18,dc_ac,cosine
qwen35_27b,Qwen/Qwen3.5-27B,Qwen,Qwen,agent500,500,-8.561264038085938,-2.9246091842651367,18,dc_ac,cosine
qwen35_122b_a10b,Qwen/Qwen3.5-122B-A10B,Qwen,Qwen,agent500,500,-8.228934288024902,-2.4778237342834473,18,dc_ac,cosine
qwen36_27b,Qwen/Qwen3.6-27B,Qwen,Qwen,agent500,500,-8.680513381958008,-4.396660327911377,18,dc_ac,cosine
