label,repo_id,organization,plot_group,response_count,tsne_x,tsne_y,proxy_layer,component,distance
qwen25_3b,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,100,6.67586612701416,-7.688643932342529,18,dc_ac,cosine
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,100,6.435075759887695,-8.32191276550293,18,dc_ac,cosine
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,100,7.192543029785156,-8.124275207519531,18,dc_ac,cosine
qwen25_32b,Qwen/Qwen2.5-32B-Instruct,Qwen,Qwen,100,6.862943172454834,-8.416359901428223,18,dc_ac,cosine
qwen25_72b,Qwen/Qwen2.5-72B-Instruct,Qwen,Qwen,100,6.124029636383057,-7.8750128746032715,18,dc_ac,cosine
qwen3_1_7b,Qwen/Qwen3-1.7B,Qwen,Qwen,100,-7.157279968261719,10.637116432189941,18,dc_ac,cosine
qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen,Qwen,100,7.590289115905762,-5.35910701751709,18,dc_ac,cosine
qwen3_4b,Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,100,-4.009774684906006,-2.258798360824585,18,dc_ac,cosine
qwen3_4b_think,Qwen/Qwen3-4B-Thinking-2507,Qwen,Qwen,100,-4.946471214294434,10.609681129455566,18,dc_ac,cosine
qwen3_14b,Qwen/Qwen3-14B,Qwen,Qwen,100,-7.123952388763428,10.640214920043945,18,dc_ac,cosine
qwen3_30b_a3b_inst,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,Qwen,100,-3.5204617977142334,-2.0110888481140137,18,dc_ac,cosine
qwen3_30b_a3b_think,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,Qwen,100,-5.3594231605529785,10.841365814208984,18,dc_ac,cosine
qwen3_next_80b_inst,Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,Qwen,100,-3.719087839126587,-2.1398255825042725,18,dc_ac,cosine
qwen3_next_80b_think,Qwen/Qwen3-Next-80B-A3B-Thinking,Qwen,Qwen,100,-4.9453959465026855,10.299100875854492,18,dc_ac,cosine
qwen3_coder_30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,Qwen,100,0.4543372392654419,-1.708882451057434,18,dc_ac,cosine
qwq_32b,Qwen/QwQ-32B,Qwen,Qwen,100,-4.878290176391602,11.28290843963623,18,dc_ac,cosine
qwen35_4b,Qwen/Qwen3.5-4B,Qwen,Qwen,100,-10.295360565185547,9.849196434020996,18,dc_ac,cosine
qwen35_4b_base,Qwen/Qwen3.5-4B-Base,Qwen,Qwen,100,-1.6426560878753662,6.506572246551514,18,dc_ac,cosine
qwen35_9b,Qwen/Qwen3.5-9B,Qwen,Qwen,100,-10.389830589294434,9.477619171142578,18,dc_ac,cosine
qwen35_9b_base,Qwen/Qwen3.5-9B-Base,Qwen,Qwen,100,-1.644618034362793,6.525534629821777,18,dc_ac,cosine
qwen35_27b,Qwen/Qwen3.5-27B,Qwen,Qwen,100,-10.014195442199707,9.523119926452637,18,dc_ac,cosine
qwen35_122b_a10b,Qwen/Qwen3.5-122B-A10B,Qwen,Qwen,100,-10.307879447937012,9.834132194519043,18,dc_ac,cosine
qwen36_27b,Qwen/Qwen3.6-27B,Qwen,Qwen,100,-10.086962699890137,9.423635482788086,18,dc_ac,cosine
qwen15_moe_chat,Qwen/Qwen1.5-MoE-A2.7B-Chat,Qwen,Qwen,100,12.586226463317871,-7.978767395019531,18,dc_ac,cosine
llama3_8b,meta-llama/Meta-Llama-3-8B-Instruct,Llama,Llama,100,9.627435684204102,-3.4521803855895996,18,dc_ac,cosine
llama3_70b,meta-llama/Meta-Llama-3-70B-Instruct,Llama,Llama,100,9.3370943069458,-3.178581714630127,18,dc_ac,cosine
llama31_8b,meta-llama/Llama-3.1-8B-Instruct,Llama,Llama,100,12.027190208435059,-7.078108787536621,18,dc_ac,cosine
llama31_70b,meta-llama/Llama-3.1-70B-Instruct,Llama,Llama,100,11.858525276184082,-7.198622226715088,18,dc_ac,cosine
llama32_1b_inst,meta-llama/Llama-3.2-1B-Instruct,Llama,Llama,100,13.065156936645508,-7.1364641189575195,18,dc_ac,cosine
llama32_3b,meta-llama/Llama-3.2-3B-Instruct,Llama,Llama,100,12.67882251739502,-7.489400863647461,18,dc_ac,cosine
llama4_scout,meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama,Llama,100,7.111372947692871,-1.4756379127502441,18,dc_ac,cosine
mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,Mistral,Mistral,100,12.18287181854248,-6.262518882751465,18,dc_ac,cosine
mistral_nemo,mistralai/Mistral-Nemo-Instruct-2407,Mistral,Mistral,100,11.285371780395508,-6.925283432006836,18,dc_ac,cosine
mixtral_8x7b,mistralai/Mixtral-8x7B-Instruct-v0.1,Mistral,Mistral,100,11.535821914672852,-6.257972717285156,18,dc_ac,cosine
ds_distill_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,DeepSeek,100,-4.095329284667969,10.722594261169434,18,dc_ac,cosine
ds_distill_qwen_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek,DeepSeek,100,-4.510359764099121,11.321075439453125,18,dc_ac,cosine
ds_distill_qwen_14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek,DeepSeek,100,-4.089823246002197,11.263574600219727,18,dc_ac,cosine
ds_distill_qwen_32b,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek,DeepSeek,100,-4.356115818023682,10.609838485717773,18,dc_ac,cosine
ds_v2_lite,deepseek-ai/DeepSeek-V2-Lite-Chat,DeepSeek,DeepSeek,100,12.641963005065918,-6.559182643890381,18,dc_ac,cosine
